aisle,items,uniqueItems,satOrders,contained,isUsed,rareness
166,121,16,17,0,False,15.99984000159998
167,305,60,94,0,False,7.6874740068686185
168,2,1,1,0,False,0.015872998236351167
169,14,10,22,1,False,0.2182242064886128
170,13,9,12,1,False,2.4593830435643276
171,1111,172,269,0,False,36.16083542865371
172,1959,305,559,0,False,42.835281583781644
173,1020,172,259,0,False,34.86238875697173
174,1663,280,562,0,False,43.500827262702465
175,1687,285,532,0,False,56.16427574048236
176,613,81,122,0,False,11.437950713175727
177,1255,197,457,0,False,33.606224527188054
178,1708,155,373,0,False,48.38666478040407
179,727,73,123,0,False,43.10263478205049
180,430,66,118,0,False,7.5295890815267565
181,8,3,4,0,False,1.2515272110293258
182,44,5,5,0,False,2.240535086991045
183,13,3,4,0,False,0.3138879101111399
