aisle,items,uniqueItems,satOrders,contained,isUsed
135,464,2,0,0,False
136,1,1,0,0,False
137,534,8,0,0,False
138,235,66,3,0,False
139,39,18,0,0,False
140,139,44,1,0,False
141,100,30,0,0,False
142,177,36,0,0,False
143,89,34,1,0,False
144,142,44,0,0,True
145,225,42,2,0,False
146,214,42,0,0,True
147,85,43,0,0,True
148,105,34,0,0,True
149,109,35,0,0,True
150,132,39,1,0,True
151,2,1,0,1,False
152,48,8,3,2,False
153,165,60,0,0,True
154,166,40,1,0,False
155,152,40,0,0,True
156,166,39,0,0,False
157,141,36,2,0,True
158,224,41,1,0,False
159,146,31,1,0,True
160,149,24,0,0,False
161,126,11,1,0,False
162,247,33,0,0,True
163,131,43,0,0,False
164,104,34,0,1,False
165,7,1,0,1,False
166,38,11,0,0,False
167,328,72,1,0,True
168,199,50,0,0,False
169,148,48,0,0,True
170,124,45,1,0,False
171,111,41,0,1,False
172,124,43,0,0,True
173,163,51,0,1,False
174,125,35,2,0,True
175,94,35,0,0,False
176,82,36,0,0,False
177,175,49,0,0,False
178,24,10,0,0,False
179,1679,3,0,0,False
180,26,2,0,1,False
181,40,8,0,1,False
182,180,62,2,0,True
183,58,15,0,0,False
184,132,54,3,1,True
185,134,50,1,0,False
186,130,47,1,0,False
187,126,42,1,0,True
188,110,50,0,0,False
189,96,33,1,0,False
190,158,44,0,1,False
191,283,47,2,0,True
192,82,35,0,0,True
193,147,39,0,0,True
194,2,1,0,0,False
195,34,10,1,1,False
196,161,37,1,0,False
197,161,54,0,0,True
198,141,42,0,0,False
199,214,52,0,0,True
200,192,55,0,0,False
201,98,23,0,0,False
202,137,48,2,0,False
203,317,40,3,0,False
204,110,12,1,0,False
205,122,45,0,1,False
206,158,43,0,1,False
207,74,26,1,0,False
208,56,7,0,0,False
209,157,37,0,0,False
210,88,39,0,0,True
211,167,73,0,0,True
212,167,47,0,0,True
213,101,39,2,0,False
214,70,29,0,0,False
215,119,51,0,0,True
216,73,25,0,0,False
217,124,37,0,0,False
218,157,48,0,0,False
219,120,39,0,0,True
220,5,3,0,0,False
221,1823,4,0,0,False
222,2,2,0,1,False
223,14,10,0,0,False
224,196,52,0,0,False
225,172,37,1,0,False
226,126,43,0,0,False
227,77,27,0,0,False
228,83,16,1,0,True
229,142,42,0,0,False
230,90,14,0,0,False
231,176,44,0,0,False
232,35,8,0,0,False
233,94,27,2,0,False
234,109,38,0,0,True
235,4,1,0,0,False
236,23,11,1,2,False
237,207,59,1,0,False
238,109,30,0,0,False
239,169,44,0,0,False
240,233,65,0,0,True
241,236,47,6,0,True
242,108,25,0,0,False
243,150,45,0,1,False
244,123,37,0,0,True
245,104,20,0,0,False
246,174,42,0,0,False
247,190,35,1,0,False
248,133,36,0,0,True
249,3,2,0,0,False
250,256,6,0,1,False
251,181,55,0,0,False
252,160,44,0,0,True
253,126,46,0,0,True
254,124,31,2,0,False
255,166,52,1,1,True
256,105,40,1,1,False
257,140,52,1,0,True
258,92,31,0,0,False
259,47,18,0,0,True
260,166,43,0,0,False
261,62,20,0,0,False
262,24,7,0,0,False
263,31,2,0,0,False
264,13,3,1,1,False
265,94,15,2,0,True
266,153,54,1,0,True
267,190,53,0,0,False
268,111,38,0,0,False
269,133,43,0,1,False
270,128,30,0,1,False
271,104,19,0,0,False
272,49,14,0,0,False
273,204,58,0,0,True
274,16,6,1,1,False
275,106,37,0,0,False
276,121,36,0,0,False
277,30,9,2,0,False
278,169,34,0,0,False
279,180,50,0,0,False
280,132,51,1,0,False
281,150,46,0,1,False
282,101,22,0,0,False
283,154,55,0,0,True
284,164,34,0,0,False
285,164,42,0,0,False
286,43,9,0,0,False
287,73,29,0,0,False
288,143,45,1,1,True
289,114,40,1,0,False
290,83,21,0,1,False
291,27,9,0,0,False
292,131,45,2,0,True
293,144,45,0,0,False
294,121,45,0,1,False
295,167,49,0,0,False
296,189,55,0,0,True
297,100,35,0,0,False
298,163,52,0,1,False
299,75,35,0,0,False
300,120,54,1,0,True
301,47,18,1,0,False
302,21,8,0,0,False
303,70,13,0,0,False
304,32,1,0,0,False
305,165,29,0,0,True
306,13,3,0,3,False
307,56,13,0,0,False
308,184,51,2,0,True
309,199,54,0,0,True
310,133,35,0,0,False
311,204,65,0,0,True
312,78,16,0,0,False
313,111,20,1,0,False
314,92,33,1,0,False
315,69,17,0,0,False
316,66,9,0,0,False
317,112,43,0,0,True
318,132,42,0,0,True
319,70,29,0,0,False
320,1,1,0,0,False
321,59,12,5,2,False
322,180,48,0,1,False
323,181,62,0,1,False
324,172,47,0,0,True
325,78,40,1,0,False
326,124,35,0,1,False
327,251,65,0,0,True
328,59,21,0,0,False
329,140,21,1,0,False
330,66,19,1,0,False
331,144,25,0,0,False
332,102,38,1,0,False
333,184,40,0,0,False
334,164,49,0,1,True
335,6,2,0,1,False
336,60,13,0,1,False
337,158,48,0,0,False
338,191,51,1,0,False
339,200,56,0,0,False
340,182,37,0,0,False
341,131,60,0,0,True
342,128,47,0,0,True
343,116,43,0,1,True
344,82,25,0,0,False
345,161,36,0,0,False
346,32,13,1,0,False
347,34,8,0,0,False
348,19,6,0,0,False
349,230,3,0,1,False
350,84,33,0,0,False
351,154,31,1,0,True
352,3,2,0,2,False
353,24,8,0,0,False
354,194,74,2,0,True
355,96,27,0,0,False
356,115,42,1,0,True
357,117,43,0,0,False
358,142,28,3,0,True
359,155,23,1,0,False
360,63,10,1,0,False
361,80,34,0,0,False
362,48,10,0,0,False
363,172,43,0,0,False
364,91,34,0,0,True
365,192,38,0,0,False
366,40,12,2,2,False
367,135,33,1,0,False
368,168,49,0,0,False
369,126,43,0,1,False
370,135,37,1,0,True
371,169,31,1,0,False
372,114,36,0,0,False
373,157,42,0,0,False
374,147,55,1,0,False
375,92,20,1,0,True
376,113,42,0,0,False
377,121,35,2,0,False
378,124,39,0,0,True
379,230,46,0,0,False
380,1867,6,1,0,False
381,14,3,0,0,False
382,12,3,0,0,False
